Axial_load,Confining_Pressure,Displesment,Pore_Pressure
22.920,63.280,10.661,3.880
22.970,63.430,10.684,3.880
23.100,63.520,10.709,3.880
23.140,63.230,10.738,4.040
23.190,63.620,10.762,3.940
22.920,63.430,10.789,4.040
23.070,63.430,10.815,3.880
23.080,63.470,10.841,3.830
23.180,63.520,10.867,3.880
23.270,63.570,10.892,3.880
23.330,62.320,10.916,3.510
23.210,63.190,10.943,3.940
23.300,63.140,10.970,3.990
23.220,62.800,10.995,3.880
23.280,62.900,11.020,3.880
23.270,62.950,11.047,3.830
23.250,62.990,11.073,3.830
23.180,63.090,11.101,3.830
23.290,63.090,11.123,3.880
23.260,63.140,11.149,3.830
23.080,63.280,11.177,3.830
23.240,63.380,11.201,3.880
23.250,63.380,11.227,3.880
23.070,63.520,11.252,3.830
23.170,63.570,11.281,3.830
23.100,62.950,11.307,3.880
22.940,63.040,11.331,3.880
23.130,63.090,11.356,3.880
23.170,63.140,11.383,3.830
23.260,63.190,11.410,3.880
23.250,63.280,11.436,3.940
23.270,63.330,11.462,3.830
23.310,63.380,11.490,3.880
23.140,63.470,11.517,3.780
23.340,63.470,11.541,3.880
23.260,63.520,11.569,3.880
23.490,63.570,11.595,3.880
23.460,62.850,11.620,3.830
23.220,63.040,11.648,3.830
23.330,63.040,11.673,3.830
23.370,63.190,11.699,3.880
23.420,63.190,11.726,3.880
23.290,63.230,11.751,3.830
23.400,63.330,11.778,3.830
23.540,63.330,11.804,3.880
23.510,63.430,11.830,3.830
23.470,63.430,11.857,3.940
23.560,63.520,11.883,3.940
23.560,63.570,11.908,3.880
23.610,63.620,11.935,3.830
23.560,63.040,11.960,3.830
23.570,63.140,11.986,3.830
23.560,63.190,12.011,3.880
23.560,63.230,12.036,3.880
23.630,63.330,12.063,3.880
23.610,63.380,12.087,3.830
23.710,63.380,12.114,3.880
23.740,63.470,12.139,3.880
23.720,63.520,12.170,3.830
23.940,63.520,12.217,3.830
23.930,63.660,12.280,3.880
23.880,63.090,12.342,3.830
23.680,63.140,12.392,3.880
23.830,63.190,12.413,3.830
23.680,63.190,12.443,3.830
23.750,63.280,12.466,3.830
23.630,63.330,12.493,3.830
23.650,63.380,12.516,3.830
23.720,63.380,12.545,3.830
23.810,63.430,12.569,3.830
23.840,63.520,12.596,3.780
24.000,63.520,12.622,3.880
23.940,63.620,12.645,3.830
23.950,62.950,12.672,3.830
23.890,62.990,12.696,3.830
23.960,63.090,12.724,3.830
24.050,63.140,12.749,3.830
24.090,63.190,12.776,3.830
24.240,63.230,12.800,3.780
24.210,63.280,12.826,3.880
24.250,63.280,12.852,3.830
24.260,63.380,12.879,3.780
